geo_tract_geoid,pct_urban_2020
01071950200,0.016666666666666666
01073004200,0.061458931648477884
01073014104,0.048167539267015703
01073014304,0.04329484902309059
01089001403,0.05767056162834527
01089010704,0.050129785853341984
01101005904,0.06120726044744618
01121011200,0.009266409266409266
04005002102,0.06120157215047726
04013050604,0.4487212606561612
04013050621,0.3686950485886164
04013061044,0.23294598665805896
04013061052,0.44943342776203965
04013061058,0.4224838800112139
04013061300,0.6297560975609756
04013082208,0.7557840616966581
04013105501,0.4379590258987244
04013112515,0.7115384615384616
04013113100,0.1999599679743795
04013113601,0.5777096114519428
04013422643,0.19617877857386556
04013422647,0.1605125977410947
04013422654,0.19443496073745306
04013616500,0.23110995310057322
04013723306,0.4744744744744745
04013811800,0.08324607329842931
04013817600,0.1625272331154684
04019004109,0.22545700744752878
04019004419,0.21041738530527768
04019980300,0.6
04021002107,0.3009433962264151
05009790600,0.03663613655287261
05035030602,0.019751082251082252
05071952100,0.2744055944055944
05115951400,0.06733111849390919
05119004007,0.04482477587612062
06005000304,0.1535955317663486
06025011201,0.8169372425490671
06029005700,0.19596912521440824
06037460001,0.10627719080174021
06037482801,0.473169568328166
06037980016,0.7567567567567568
06065045616,0.9576457645764577
06067009010,0.20887337986041873
06077003900,0.7101740294511378
06081600100,0.18213372305443917
06085504602,0.5598249027237354
06085504808,0.4239063462723352
06085505006,0.06741101410342512
06085505010,0.1492468134414832
06085505202,0.31730395333765393
06085508708,0.06597893831936386
06085509108,0.23141383755908895
06085512032,0.32836248924577
06085512602,0.5805720758991787
08005006864,0.09366219169528567
08031001707,0.13640032284100082
08031002602,0.12098765432098765
08031003501,0.7100061766522545
08041007206,0.0830533530439457
08041007900,0.07126436781609195
08123002203,0.09461077844311377
08123002502,0.19590048505711155
10003016308,0.09415236051502146
12057005101,0.21710352131321153
12086000508,0.38037405878066555
12093910101,0.18983911939034717
12095018000,0.14840120251434818
12099007917,0.20504138449962378
12105012411,0.4276185069543003
12105015900,0.2665388302972196
12111382201,0.06996347288564203
13015960203,0.04420600858369099
